Date,Name,Loyalty Program,ITR,Overall Comment,Elite Ap.,Cleanliness,Staff Service,Maintenance and Upkeep,F&B,Reason for Brand Question Rating,Restaurant 1 Service Satisfaction:,Reason for Trip,Overall Score,Social Comment,Comment_Length,Month,Year,Year-Month,Season,Service_Quality,Detected_Language,Translated Overall Comment,Sentiment,Sentiment_Score,Sentiment_Magnitude,Sentiment_2
2024-08-19 05:57:54.000,JORGE,Platinum,7.0,"Como siempre lo mas destacable es el personal, pero siendo honestos y como huésped frecuente, los servicios en general del hotel han desmejorado, desde los horarios de Room Service, el frigobar, ascensores que no funcionan y servicios en la pileta o el spa. Es notable la reducción de servicios",9.0,9.0,9.0,6.0,7.0,"Lo dicho anteriormente, esperaría siempre en un hotel de esta categoría que los servicios mejoren no que desmejoren",9.0,Business Individual,3.5,Excelente,49,8,2024,2024-08,Invierno,7.75,es,"As always, the most notable thing is the staff, but being honest and as a frequent guest, the services in general of the hotel have deteriorated, from the Room Service hours, the minibar, elevators that do not work and services in the pool or spa. The reduction in services is noticeable.",negative,-0.4000000059604645,0.800000011920929,negative
2024-08-18 05:47:44.000,RAFAELCA,Member,3.0,"The bathroom from room 1110 is simply impossible to imagine that someone planned it.  Unfortunately, I encountered a significant issue with the shower area. The glass divider in the shower was immovable, which might have been fine if the showerhead wasn’t fixed to the ceiling in a spot that the glass divider didn’t cover. As a result, every time I took a shower, water would splash out and soak the entire bathroom floor.

I took a video to illustrate this issue more clearly. I believe this could be an easy fix that would greatly enhance the comfort and experience of your guests.",10.0,7.0,9.0,2.0,8.0,"Unfortunately, I encountered a significant issue with the shower area. The glass divider in the shower was immovable, which might have been fine if the showerhead wasn’t fixed to the ceiling in a spot that the glass divider didn’t cover. As a result, every time I took a shower, water would splash out and soak the entire bathroom floor.

I took a video to illustrate this issue more clearly. I believe this could be an easy fix that would greatly enhance the comfort and experience of your guests.",9.0,Meeting,1.5,Excelente,102,8,2024,2024-08,Invierno,6.5,en,"The bathroom from room 1110 is simply impossible to imagine that someone planned it.  Unfortunately, I encountered a significant issue with the shower area. The glass divider in the shower was immovable, which might have been fine if the showerhead wasn’t fixed to the ceiling in a spot that the glass divider didn’t cover. As a result, every time I took a shower, water would splash out and soak the entire bathroom floor.

I took a video to illustrate this issue more clearly. I believe this could be an easy fix that would greatly enhance the comfort and experience of your guests.",negative,-0.6000000238418579,3.799999952316284,negative
2024-08-16 14:49:50.000,RAMON,Silver,10.0,"It was great. The service and professionalism was amazing. Gabriel is a superb host. I can’t remember some of the names, but the ladies at the front desk made everything lovely. Thank you again!",10.0,10.0,10.0,8.0,10.0,Unknown,10.0,Friends,5.0,Excelente,34,8,2024,2024-08,Invierno,9.5,en,"It was great. The service and professionalism was amazing. Gabriel is a superb host. I can’t remember some of the names, but the ladies at the front desk made everything lovely. Thank you again!",positive,0.8999999761581421,4.5,positive
2024-08-14 18:38:55.000,NESTOR,Member,10.0,"Muy buena como siempre, aunque debo indicar que no son de mi gusto las habitaciones de luxe que están en la torre norte aunque las acepto al momento de designarme la preferiría que fuesen en la otra torre",10.0,10.0,10.0,10.0,8.0,Por lo que expliqué en relación a las habitaciones y su categoría dependiendo de la torre que me designen,10.0,Couple,5.0,Excelente,38,8,2024,2024-08,Invierno,9.5,es,"Very good as always, although I must say that I do not like the deluxe rooms in the north tower, although I accept them when they are designated, I would prefer them to be in the other tower.",positive,0.4000000059604645,0.4000000059604645,positive
2024-08-14 11:23:25.000,GABRIELA,Member,10.0,"Nos gustó mucho este hotel, por su espacio. La atención del personal exquisita.",10.0,10.0,10.0,9.0,9.0,En el único hotel que nos fue mal ha sido en el sheraton de time square. En el resto hemos estado muy conformes.,9.0,Couple,5.0,Excelente,13,8,2024,2024-08,Invierno,9.5,es,"We really liked this hotel, for its space and the attention of the staff was exquisite.",positive,0.8999999761581421,0.8999999761581421,positive
2024-08-13 15:16:07.000,FELIPE,Gold,10.0,Genial,10.0,10.0,10.0,10.0,10.0,Unknown,10.0,Meeting,5.0,Excelente,1,8,2024,2024-08,Invierno,10.0,ur,Genial,neutral,0.8999999761581421,0.8999999761581421,positive
2024-08-13 04:39:34.000,JOANNE,Platinum,10.0,the staff was wonderful and accommodating.  The property was beautiful and in a central location.  The executive lounge provided a comfortable island for breaks in the sea of activities that my vacation took me on.  Bravo to the Buenos Aires  !,10.0,10.0,10.0,10.0,10.0,I have grown to expect consistent quality and service from   brands.  This location met these expectations.,10.0,Family,5.0,Excelente,41,8,2024,2024-08,Invierno,10.0,en,the staff was wonderful and accommodating.  The property was beautiful and in a central location.  The executive lounge provided a comfortable island for breaks in the sea of activities that my vacation took me on.  Bravo to the Buenos Aires  !,positive,0.699999988079071,3.0,positive
2024-08-11 17:44:42.000,CRISTOBAL,Gold,10.0,"Quiero agradecer a todo el equipo de buenos Aires sobre todo a Juan de recepción y Pilar. 

Cada vez que viajo Juan se preocupa de sobre manera en que mi estadía sea la mejor de todas. Pilar primera vez que la veo en recepción, realice check in y check out con ella, encantadora y súper profesional 

Por favor háganle saber mis felicitaciones

Un gran abrazo
Cristobal Nelson",10.0,10.0,10.0,10.0,10.0,Simplemente por el gran equipo que tienen,10.0,Meeting,5.0,Excelente,67,8,2024,2024-08,Invierno,10.0,es,"I would like to thank the entire Buenos Aires team, especially Juan at reception and Pilar. Every time I travel, Juan is extremely concerned that my stay is the best of all. Pilar is the first time I see her at reception, I checked in and out with her, charming and super professional. Please let her know my congratulations. A big hug, Cristobal Nelson",positive,0.699999988079071,3.700000047683716,positive
2024-08-11 14:50:41.000,JEFFREY,Titanium,10.0,"Exceptional service. Room was beautiful, and level 23 is always memorable.",8.0,9.0,9.0,8.0,9.0,Unknown,9.0,Leisure Individual,5.0,Excelente,11,8,2024,2024-08,Invierno,8.75,en,"Exceptional service. Room was beautiful, and level 23 is always memorable.",positive,0.8999999761581421,1.899999976158142,positive
2024-08-11 14:11:37.000,YAMILA,Non-Member,7.0,La habitación y sobre todo el baño es pequeño. Me tocó una habitación que se comunicaba con una contigua y se escuchaba absolutamente todo. No es seguro ni cómodo.,10.0,9.0,9.0,7.0,8.0,Unknown,9.0,Business Individual,3.5,Excelente,29,8,2024,2024-08,Invierno,8.25,es,The room and especially the bathroom are small. I had a room that was connected to an adjoining one and I could hear absolutely everything. It is not safe or comfortable.,negative,-0.30000001192092896,2.200000047683716,negative
2024-08-10 23:40:42.000,ALNOOR,Gold,6.0,"The hotel overall was not up to par for a  . The entrance and the dining area was very grand and welcoming .  The swimming pool area was very good.
The reception staff were very good and helpful. 

However , our room (728) was  below   standard. Very dated . Needs an update. Our bathroom tub had grout/ caulking coming out . Poor paint Job in the room. 
Also , there is a ( 1/4 to 1/2 inch )  gap on top of the room door . Being just outside the elevator , the gap let in a lot noise .

The room floors also looked like they needed a refresh. 

Definetly not a 4 star +  . 

Thanks",10.0,7.0,10.0,3.0,7.0,Seeearlier comments.,8.0,Couple,3.0,Excelente,118,8,2024,2024-08,Invierno,6.75,en,"The hotel overall was not up to par for a  . The entrance and the dining area was very grand and welcoming .  The swimming pool area was very good.
The reception staff were very good and helpful. 

However , our room (728) was  below   standard. Very dated . Needs an update. Our bathroom tub had grout/ caulking coming out . Poor paint Job in the room. 
Also , there is a ( 1/4 to 1/2 inch )  gap on top of the room door . Being just outside the elevator , the gap let in a lot noise .

The room floors also looked like they needed a refresh. 

Definetly not a 4 star +  . 

Thanks",positive,-0.30000001192092896,10.600000381469727,negative
2024-08-10 16:53:58.000,DANIELE,Silver,10.0,"Excellent Service at The   Buenos Aires! I was impressed by the support of Receptionist and Laundry Services! Juan Manuel, Octavio and Gustavo Above and Beyond!",10.0,10.0,10.0,10.0,10.0,Na,10.0,Business Individual,5.0,Excelente,25,8,2024,2024-08,Invierno,10.0,en,"Excellent Service at The   Buenos Aires! I was impressed by the support of Receptionist and Laundry Services! Juan Manuel, Octavio and Gustavo Above and Beyond!",positive,0.699999988079071,2.299999952316284,positive
2024-08-10 14:49:38.000,JOSE,Member,5.0,"Habitación con bastante deterioro, ya diseño y decoración lúgubre",10.0,6.0,6.0,3.0,8.0,"Buena ubicación, personal muy atento, habitaciones desactualizadas para su precio",7.0,Meeting,2.5,Excelente,9,8,2024,2024-08,Invierno,5.75,es,"Room in quite a state of disrepair, with a gloomy design and decoration",negative,-0.699999988079071,0.699999988079071,negative
2024-08-10 07:03:46.000,DAN,Platinum,10.0,Had a great experience at your hotel for on 2 different weeks due to a weekend trip to Uruguay.,10.0,10.0,10.0,10.0,10.0,I have stayed at many   hotels all over the world and all have been very well managed as was the Buenos Aires  .,10.0,Leisure Individual,5.0,Excelente,19,8,2024,2024-08,Invierno,10.0,en,Had a great experience at your hotel for on 2 different weeks due to a weekend trip to Uruguay.,positive,0.8999999761581421,0.8999999761581421,positive
2024-08-09 16:23:39.000,RICARDO,Non-Member,10.0,Muy conforme.,10.0,10.0,10.0,9.0,9.0,Unknown,10.0,Couple,5.0,Excelente,2,8,2024,2024-08,Invierno,9.5,es,Very satisfied.,positive,0.8999999761581421,0.8999999761581421,positive
2024-08-09 14:05:16.000,FELIPE,Member,10.0,EXCELENT STAFF AND VERY FRIENDLY!! I FELT SO WELCOME AT BA,10.0,10.0,10.0,10.0,9.0,I FELT VERY WELCOME!!!!,10.0,Business Individual,5.0,Excelente,11,8,2024,2024-08,Invierno,9.75,en,EXCELENT STAFF AND VERY FRIENDLY!! I FELT SO WELCOME AT BA,positive,0.699999988079071,1.399999976158142,positive
2024-08-07 11:52:48.000,AXEL,Silver,10.0,"Todo bien, excelente estadía.",10.0,10.0,10.0,10.0,9.0,Unknown,10.0,Meeting,5.0,Excelente,4,8,2024,2024-08,Invierno,9.75,es,"All good, excellent stay.",positive,0.8999999761581421,0.8999999761581421,positive
2024-08-05 03:33:49.000,ELIANE,Member,10.0,"Excelente, muy agradable",10.0,10.0,10.0,10.0,10.0,Unknown,10.0,Business Individual,5.0,Excelente,3,8,2024,2024-08,Invierno,10.0,es,"Excellent, very nice",positive,0.8999999761581421,0.8999999761581421,positive
2024-08-04 14:26:44.000,ERICK,Silver,9.0,Excelente servicio,9.0,9.0,9.0,9.0,9.0,Unknown,9.0,Business Individual,4.5,Excelente,2,8,2024,2024-08,Invierno,9.0,es,Excellent service,positive,0.8999999761581421,0.8999999761581421,positive
2024-08-03 17:11:36.000,MATIAS,Platinum,9.0,Staff were all very nice and helpful. Special kudos to the lady that was in the breakfast podium (I think her name was Marcia) for going above and beyond in her service.,10.0,10.0,10.0,8.0,7.0,Staff were all very nice and helpful. Special kudos to the lady that was in the breakfast podium (I think her name was Marcia) for going above and beyond in her service.,10.0,Family,4.5,Excelente,32,8,2024,2024-08,Invierno,8.75,en,Staff were all very nice and helpful. Special kudos to the lady that was in the breakfast podium (I think her name was Marcia) for going above and beyond in her service.,positive,0.8999999761581421,1.7999999523162842,positive
2024-08-02 15:02:02.000,MARTA,Member,8.0,"La atención del personal fue muy grato, tanto en la recepción, como en la pileta y en el desayunador.
El  inconveniente fue que la puerta del baño de la hab. 1031 no cerraba y en la puerta principal no giraba la llave de cierre.
También en la Hab. 1027 no cerraba bien la puerta del baño.",10.0,10.0,10.0,9.0,10.0,Unknown,10.0,Family,4.0,Excelente,56,8,2024,2024-08,Invierno,9.75,es,"The staff was very helpful, both at the reception, at the pool and in the breakfast room. The only problem was that the bathroom door in room 1031 did not close and the lock on the main door did not turn. Also in room 1027 the bathroom door did not close properly.",positive,-0.10000000149011612,2.0999999046325684,neutral
2024-08-02 09:05:33.000,BERNARDO,Gold,10.0,EXCELENTE LA ATENCION DE TODO EL PERSONAL DELHOTEL FELICIDADES Y QUE SIGAN LOS EXITOS,10.0,10.0,10.0,10.0,10.0,CADA MES QUE ME HOSPEDO EN EL HOTEL ME SIENTO COMO EN MI CASA,10.0,Meeting,5.0,Excelente,14,8,2024,2024-08,Invierno,10.0,es,EXCELLENT SERVICE FROM ALL THE HOTEL STAFF. CONGRATULATIONS AND CONTINUED SUCCESS.,positive,0.4000000059604645,0.8999999761581421,positive
2024-07-31 14:42:46.000,GUSTAVO,Member,9.0,todo exelente!!,10.0,9.0,9.0,9.0,9.0,muy buena atencion !!,9.0,Meeting,4.5,Excelente,2,7,2024,2024-07,Invierno,9.0,pt,everything excellent!!,positive,0.8999999761581421,0.8999999761581421,positive
2024-07-31 14:11:59.000,MEAGAN,Member,8.0,"Lovely hotel and kind staff. My room TV didn’t work, and they provided me a very generous upgrade and were super helpful for my entire stay.",10.0,8.0,10.0,7.0,7.0,"I booked a   because I know what to expect from the   brand, and this hotel lived up to expectations.",7.0,Leisure Individual,4.0,Excelente,26,7,2024,2024-07,Invierno,8.0,en,"Lovely hotel and kind staff. My room TV didn’t work, and they provided me a very generous upgrade and were super helpful for my entire stay.",positive,0.8999999761581421,1.7999999523162842,positive
2024-07-31 13:37:55.000,JOSE,Member,10.0,"Buena infraestructura, excelentes servicios y esmerada atención del personal.

10 puntos!",10.0,10.0,10.0,10.0,10.0,Unknown,10.0,Couple,5.0,Excelente,11,7,2024,2024-07,Invierno,10.0,es,"Good infrastructure, excellent services and attentive staff. 10 points!",positive,0.800000011920929,1.600000023841858,positive
2024-07-30 19:25:08.000,MARK,Gold,6.0,"Hubo problema con la calefacción. 
El día que llegue no había batería en los controles, tocó llamar para que lo pongan 
Olía la habitación a picturs fresca y me hizo arder la garganta. Soy susceptible a los olores",10.0,10.0,10.0,7.0,7.0,Unknown,10.0,Leisure Individual,3.0,Excelente,38,7,2024,2024-07,Invierno,8.5,es,"There was a problem with the heating. The day I arrived there was no battery in the controls, I had to call to have it replaced. The room smelled of fresh paints and it made my throat burn. I am susceptible to smells.",negative,-0.699999988079071,3.0,negative
2024-07-30 19:25:05.000,CARLOS,Member,10.0,"Muy agradable, espectaculares las instalaciones, muy amable el personal, seguramente vamos a volver mientras tengan esas promociones tan buenas",10.0,10.0,10.0,10.0,9.0,Unknown,10.0,Couple,5.0,Excelente,19,7,2024,2024-07,Invierno,9.75,es,"Very nice, spectacular facilities, very friendly staff, we will surely return while they have such good promotions.",positive,0.8999999761581421,0.8999999761581421,positive
2024-07-30 13:49:01.000,HECTOR,Member,10.0,"Excelente estancia.
Habitación confortable.
Nos dieron un upgrade.
Agradecidos por la cortesía de te y café. 
Desayuno normal para la categoría de hotel y en el piso 23 la mejor piscina y vistas de Buenos Aires.",10.0,10.0,8.0,7.0,9.0,Por ser sumamente confiable,10.0,Couple,5.0,Excelente,36,7,2024,2024-07,Invierno,8.5,es,Excellent stay. Comfortable room. We were given an upgrade. Thankful for the courtesy of tea and coffee. Breakfast was normal for the category of hotel and on the 23rd floor there was the best pool and views of Buenos Aires.,positive,0.5,2.9000000953674316,positive
2024-07-30 11:23:42.000,CAROLINA,Member,10.0,"Toda la experiencia muy buena.
La atención en la recepcion muy cálida, la atencion y comida del desayuno muy buenas.",10.0,10.0,10.0,10.0,8.0,Unknown,10.0,Conference/Convention,5.0,Excelente,20,7,2024,2024-07,Invierno,9.5,es,"The whole experience was very good. The service at the reception was very warm, the service and the breakfast food were very good.",positive,0.800000011920929,1.7000000476837158,positive
2024-07-29 19:46:38.000,MARCELO,Titanium,9.0,Awesome property as usual! Room was great. Even though I used some NUA's the front desk clerk did give me an additional upgrade which I trully appreciate. The Club delightful. Thanks Flor and Patricio for making our stay a bit more pleasant again. Hope to see you soon!,10.0,9.0,10.0,9.0,10.0,Buenos Aires   always Delivers beyond my expectations.,10.0,Meeting,4.5,Excelente,48,7,2024,2024-07,Invierno,9.5,en,Awesome property as usual! Room was great. Even though I used some NUA's the front desk clerk did give me an additional upgrade which I trully appreciate. The Club delightful. Thanks Flor and Patricio for making our stay a bit more pleasant again. Hope to see you soon!,positive,0.800000011920929,5.099999904632568,positive
2024-07-29 16:35:48.000,ALEJANDRO,Member,10.0,"Muy buena ! Todas la personas muy cordiales y predispuestos.
Una mención particular para el Gerente nocturno Pablo García  con quien compartimos una conversación exquisita sobre opera.",10.0,10.0,10.0,10.0,9.0,Logra hacer sentir al pasajero cómodo y seguro,10.0,Couple,5.0,Excelente,27,7,2024,2024-07,Invierno,9.75,es,Very good! Everyone was very friendly and helpful. A special mention for the night manager Pablo Garcia with whom we shared an exquisite conversation about opera.,positive,0.8999999761581421,2.799999952316284,positive
2024-07-29 12:22:58.000,ROBERT,Non-Member,9.0,Very nice hotel.  First class accommodations and staff,10.0,10.0,10.0,9.0,9.0,Unknown,10.0,Friends,4.5,Excelente,8,7,2024,2024-07,Invierno,9.5,en,Very nice hotel.  First class accommodations and staff,positive,0.8999999761581421,1.7999999523162842,positive
2024-07-29 06:59:28.000,MARLENE,Member,9.0,"I came with my husband and toddler, and have only one negative comment for our stay. The staff at the breakfast buffet was less than friendly and gave off an air that we were taking up their time. Other than that we enjoyed our stay!",10.0,9.0,8.0,9.0,8.0,Unknown,3.0,Conference/Convention,4.5,Excelente,45,7,2024,2024-07,Invierno,8.5,en,"I came with my husband and toddler, and have only one negative comment for our stay. The staff at the breakfast buffet was less than friendly and gave off an air that we were taking up their time. Other than that we enjoyed our stay!",positive,0.0,1.2999999523162842,neutral
2024-07-27 16:40:18.000,KEN,Gold,9.0,エレベーターが小さく待たされる,8.0,9.0,9.0,9.0,9.0,スタッフは親切,10.0,Business Individual,4.5,Excelente,1,7,2024,2024-07,Invierno,9.0,ja,The elevator is small and you have to wait,negative,-0.699999988079071,0.699999988079071,negative
2024-07-26 18:44:28.000,NORMA,Member,10.0,"Excelente estadía.Disfrutamos un montón!Todo perfecto,nos encantó!",10.0,9.0,10.0,9.0,10.0,Unknown,10.0,Family,5.0,Excelente,6,7,2024,2024-07,Invierno,9.5,es,"Excellent stay. We enjoyed it a lot! Everything was perfect, we loved it!",positive,0.8999999761581421,2.799999952316284,positive
2024-07-26 14:10:20.000,MARIA,Member,10.0,Excelente,10.0,10.0,10.0,10.0,10.0,Unknown,10.0,Family,5.0,Excelente,1,7,2024,2024-07,Invierno,10.0,pt,Excellent,neutral,0.8999999761581421,0.8999999761581421,positive
2024-07-25 11:09:24.000,JOSE,Member,10.0,I would recommend this hotel in Buenos Aires to all.  It’s located in a prime location and the staff is super friendly.,10.0,10.0,10.0,10.0,10.0,Unknown,10.0,Business Individual,5.0,Excelente,22,7,2024,2024-07,Invierno,10.0,en,I would recommend this hotel in Buenos Aires to all.  It’s located in a prime location and the staff is super friendly.,positive,0.8999999761581421,1.7999999523162842,positive
2024-07-25 09:12:35.000,CECILIA,Member,10.0,Todo estuvo excelente pero tengo un problema y es que no me esta apareciendo la estadia en mi aplicación BonVoy. Gracias,10.0,10.0,10.0,10.0,9.0,"La experiencia es excelente,",10.0,Business Individual,5.0,Excelente,21,7,2024,2024-07,Invierno,9.75,es,Everything was great but I have a problem and it is that the stay is not appearing in my BonVoy application. Thank you.,neutral,0.20000000298023224,1.2000000476837158,positive
2024-07-24 15:19:14.000,FERNANDO,Titanium,10.0,"I had a wonderful stay at   Buenos Aires. The hotel has an amazing location. I was upgraded to a suite thanks to my Titanium status and was welcomed with a bottle of chilled champagne and macarons. The staff made the difference. EVERYONE was super warm, friendly, professional and efficient, which is VERY hard to find these days. Special thanks to Camila, Eugenia y Vanesa who manage reservations. The rooftop pool is simply amazing and the views of the city are incredible. I definitely recommend this property, whether is for business or pleasure!",10.0,10.0,10.0,10.0,10.0,Unknown,10.0,Couple,5.0,Excelente,92,7,2024,2024-07,Invierno,10.0,en,"I had a wonderful stay at   Buenos Aires. The hotel has an amazing location. I was upgraded to a suite thanks to my Titanium status and was welcomed with a bottle of chilled champagne and macarons. The staff made the difference. EVERYONE was super warm, friendly, professional and efficient, which is VERY hard to find these days. Special thanks to Camila, Eugenia y Vanesa who manage reservations. The rooftop pool is simply amazing and the views of the city are incredible. I definitely recommend this property, whether is for business or pleasure!",positive,0.800000011920929,7.099999904632568,positive
2024-07-24 15:07:24.000,RICHARD,Non-Member,2.0,"The room is very small and no coffee maker. For the the price I paid, unexpected more. Very disappointed.",10.0,8.0,10.0,8.0,9.0,The room is a disappointment.,10.0,Friends,1.0,Excelente,19,7,2024,2024-07,Invierno,8.75,en,"The room is very small and no coffee maker. For the the price I paid, unexpected more. Very disappointed.",negative,-0.6000000238418579,1.899999976158142,negative
2024-07-24 09:52:25.000,NORMA,Member,7.0,"En la habitación de mayor precio todo el servicio en general fue bueno, pero la otra habitación, de menor precio, no estaba completamente en funcionamiento",10.0,9.0,10.0,8.0,9.0,"Sería mejor que, sin importar el precio pagado, se reciba la misma calidad en el servicio.",10.0,Family,3.5,Excelente,25,7,2024,2024-07,Invierno,9.0,es,"In the higher priced room the overall service was good, but the other, lower priced room was not fully operational.",neutral,-0.30000001192092896,0.30000001192092896,negative
2024-07-23 19:24:12.000,CLARISA,Non-Member,10.0,"Instalaciones del hotel limpias y ordenadas. 
Habitación cómoda.
Personal muy amable, en especial Joel y Agustín de recepción.",10.0,10.0,10.0,10.0,10.0,Por qué tienen un personal idóneo para eso y además tienen muy buenas instalaciones.,10.0,Family,5.0,Excelente,18,7,2024,2024-07,Invierno,10.0,es,"Clean and tidy hotel facilities. Comfortable room. Very friendly staff, especially Joel and Agustín at reception.",positive,0.8999999761581421,2.700000047683716,positive
